Akun,Tweet,Lokasi
https://twitter.com/JosephTendean,@Tita83079013 @PDI_Perjuangan @ganjarpranowo @PKSejahtera @MUIPusat https://t.co/ZCAZmSVsN2 ini ada video bgm orang Palestina bermain sepak bola di dalam mesjid yang seharusnya dijaga menjadi tempat yg suci bagi mereka,
https://twitter.com/LestiyanFals,@ganjarpranowo Rakyatmu ini belum bisa tertawa karna menganggur dan tidak bisa membelikan pakaian lebaran untuk istri dan anaku @ganjarpranowo,
https://twitter.com/Dav08488925,@ganjarpranowo Politik identitas jg ngk sich ini? Nanya aja maap mas @ganjarpranowo 🙏🏻🙏🏻,
https://twitter.com/37uyw72197,@ganjarpranowo Sehat slalu buat pa ganjar semoga menjad orang nomer satu amin,
https://twitter.com/syamsudhuha234,@flagkeflag @ganjarpranowo Bukan carmuk. Tp branding.,
https://twitter.com/KakekHalal,"Ganjar Pranowo mengunjungi Gereja Santo Antonius Purbayan Surakata, Sabtu (8/4/2023). Kedatangan Ganjar ke gereja tertua di Kota Surakarta itu untuk mengecek persiapan Misa malam Paskah. https://t.co/b6wskFoxLe",
https://twitter.com/syamsudhuha234,@dwiputera13 @ganjarpranowo Sdh capek ya..  sabar..,
https://twitter.com/SayurLodehBTW2,@ganjarpranowo DiTunggu di Masjid Al Aqsha ndorro....bela Palestina...,
https://twitter.com/sdg_sumsel1,"Pelatihan Kewirausahaan dan Doa Bersama Untuk Ganjar Pranowo Presiden 2023. Sabtu, 08 April 2023

#santridukungganjar #santrinusantara #santriindonesia #ganjarpranowo #ganjar #ganjarforpresident2024 #ganjarpresiden2024 #ganjaruntukindonesia #alimulama
@SDGanjar @ganjarpranowo https://t.co/Jhmg9gLB1D","Place(id='1c20f065bc863107', fullName='Palembang, South Sumatra', name='Palembang', type='admin', country='Indonesia', countryCode='ID')"
https://twitter.com/FashionIin,@sarah_enjeuLL @aniesbaswedan @ganjarpranowo Anies baswedan Yes OK https://t.co/U8AiiQCaWm,
https://twitter.com/Al75040750,"GIL Airdrop Campaigns 2 https://t.co/z3LR3CqUEC @aniesbaswedan 
@ganjarpranowo 
@jemimakirke",
